"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"check","check.v.01","examine so as to determine accuracy, quality, or condition","verb.cognition","['check', 'checked', 'checking']",15083
"read","read.v.01","interpret something that is written or printed","verb.cognition","['read', 'reading', 'reads']",14758
"write","write.v.01","produce a literary work","verb.creation","['write', 'wrote', 'written', 'writing', 'writes', 'penned', 'penning', 'indite']",14490
"hit","hit.v.01","cause to move by striking","verb.contact","['hit', 'hitting', 'hits']",14475
"pull","pull.v.01","cause to move by pulling","verb.contact","['pull', 'pulled', 'draw', 'pulling', 'drawn', 'drawing', 'pulls', 'draws']",14442
"worry","worry.v.01","be worried, concerned, anxious, troubled, or uneasy","verb.emotion","['worry']",14331
"hurt","ache.v.03","be the source of pain","verb.perception","['hurt', 'hurts', 'hurting', 'hurted', 'smarting']",13573
"open","open.v.01","cause to open or to become open","verb.contact","['open', 'opened', 'opens']",13569
"hate","hate.v.01","dislike intensely; feel antipathy or aversion towards","verb.emotion","['hate', 'hated', 'hates', 'hating', 'detest', 'detested', 'detests', 'detesting']",13353
"save","salvage.v.01","save from ruin, destruction, or harm","verb.social","['save', 'saved', 'saving', 'saves', 'salvage', 'salvaged', 'salvaging', 'salving']",13248
"win","win.v.01","be the winner in a contest or competition; be victorious","verb.competition","['win', 'won', 'winning', 'wins']",12357
"wear","wear.v.01","be dressed in","verb.body","['wear', 'wearing', 'wore', 'wears', 'worn', 'weared']",11973
"sleep","sleep.v.01","be asleep","verb.body","['sleep', 'sleeping', 'slept', 'sleeps', 'slumbering', 'slumbered', 'kipping']",11934
"catch","catch.v.01","discover or come upon accidentally, suddenly, or unexpectedly; catch somebody doing something or in a certain state","verb.cognition","['catch', 'caught', 'catching', 'catches', 'catched']",11877
"cut","cut.v.01","separate with or as if with an instrument","verb.contact","['cut', 'cutting', 'cuts']",11793
"drive","drive.v.01","operate or control a vehicle","verb.motion","['drive', 'driving', 'drove', 'drives', 'driven']",11786
"hang","hang.v.01","be suspended or hanging","verb.contact","['hang', 'hanging', 'hung', 'hangs', 'hanged']",11639
"sounds","sound.v.01","appear in a certain way","verb.perception","['sounds', 'sound', 'sounded', 'sounding']",11592
"throw","throw.v.01","propel through the air","verb.contact","['throw', 'threw', 'throwing', 'thrown', 'throws']",11237
"cry","shout.v.02","utter a sudden loud cry","verb.communication","['cry', 'crying', 'screaming', 'yelling', 'scream', 'yell', 'screams', 'cried', 'yelled', 'screamed', 'cries', 'yells']",11184
"wish","wish.v.01","hope for; have a wish","verb.emotion","['wish', 'wished', 'wishing']",11039
"lie","lie.v.01","be located or situated somewhere; occupy a certain position","verb.stative","['lie', 'lying', 'lied', 'lain']",10987
"become","become.v.01","enter or assume a certain state or condition","verb.change","['become', 'became', 'becomes', 'becoming']",10679
"follow","follow.v.01","to travel behind, go after, come after","verb.motion","['follow', 'following', 'followed', 'follows']",10214
"fight","contend.v.06","be engaged in a fight; carry on a fight","verb.competition","['fight', 'fighting', 'fought']",10154
"learn","learn.v.01","gain knowledge or skills","verb.cognition","['learn', 'learned', 'learning', 'learnt', 'learns', 'larn']",10039
"shoot","shoot.v.01","hit with a missile from a weapon","verb.competition","['shoot', 'shooting', 'shoots']",10030
"trust","trust.v.01","have confidence or faith in","verb.cognition","['trust', 'trusted', 'rely', 'trusting', 'trusts', 'relying', 'relied', 'relies']",9700
"spend","spend.v.01","pass time in a specific way","verb.stative","['spend', 'spent', 'spending', 'spends']",9653
"figure","calculate.v.02","judge to be probable","verb.cognition","['figure', 'figured', 'figuring']",9639
"promise","promise.v.01","make a promise or commitment","verb.communication","['promise', 'promised']",9529
