"lemma","synset","definition","lexicalform","verbforms","lemfreq"
"assaulted","assail.v.01","attack someone physically or emotionally","verb.competition","['assaulted', 'assaulting', 'assail', 'assailed', 'assailing']",251
"reviewed","review.v.01","look at again; examine again","verb.cognition","['reviewed', 'reviewing', 'reexamine', 'reexamined']",250
"ponder","chew_over.v.01","reflect deeply on a subject","verb.cognition","['ponder', 'meditate', 'meditating', 'pondering', 'pondered', 'mull', 'mulling', 'musing', 'meditated', 'ponders', 'mused']",250
"chopped","chop.v.01","cut into pieces","verb.contact","['chopped', 'chopping']",247
"leaking","leak.v.01","tell anonymously","verb.communication","['leaking', 'leaked']",246
"deploy","deploy.v.01","place troops or weapons in battle formation","verb.competition","['deploy', 'deployed', 'deploying', 'deploys']",246
"manufacture","manufacture.v.01","put together out of artificial or natural components or parts; He manufactured a popular cereal""","verb.creation","['manufacture', 'manufactured', 'fabricated', 'manufactures', 'fabricate', 'fabricating', 'fabricates']",246
"conned","victimize.v.03","deprive of by deceit","verb.social","['conned', 'conning', 'diddle', 'swindled', 'diddling', 'defraud', 'defrauded', 'swindling', 'defrauding', 'rooked', 'diddled', 'gypped', 'hornswoggled', 'gypping', 'goldbricking', 'hornswoggling', 'nobble', 'nobbling']",246
"giggling","giggle.v.01","laugh nervously","verb.body","['giggling', 'giggle', 'giggled', 'titters', 'titter', 'tittering']",245
"hijacked","commandeer.v.01","take arbitrarily or by force","verb.contact","['hijacked', 'hijack', 'hijacking', 'commandeer', 'commandeered', 'commandeering', 'highjack', 'highjacked']",245
"sneeze","sneeze.v.01","exhale spasmodically, as when an irritant entered one's nose","verb.body","['sneeze', 'sneezed', 'sneezing', 'sneezes']",245
"download","download.v.01","transfer a file or program from a central computer to a smaller computer or to a computer at a remote location","verb.possession","['download', 'downloaded', 'downloading']",244
"shattered","shatter.v.01","break into many pieces","verb.change","['shattered', 'shatter', 'shatters']",243
"cherish","care_for.v.02","be fond of; be attached to","verb.emotion","['cherish', 'cherishes', 'cherishing']",242
"tuned","tune.v.01","adjust for (better) functioning","verb.change","['tuned', 'tuning']",242
"penetrate","penetrate.v.01","pass into or through, often by overcoming resistance","verb.contact","['penetrate', 'penetrated', 'penetrates']",242
"impose","enforce.v.02","compel to behave in a certain way","verb.social","['impose', 'imposed', 'imposing', 'imposes']",242
"detained","confine.v.05","deprive of freedom; take into confinement","verb.social","['detained', 'detain', 'detaining']",241
"contaminated","pollute.v.01","make impure","verb.change","['contaminated', 'contaminate', 'polluted', 'pollute', 'polluting', 'contaminating', 'pollutes', 'contaminates']",241
"soothe","comfort.v.01","give moral or emotional strength to","verb.emotion","['soothe', 'console', 'comforted', 'soothes', 'consoling', 'consoled', 'soothed', 'consoles']",241
"chanting","chant.v.01","recite with musical intonation; recite as a chant or a psalm","verb.communication","['chanting', 'chanted', 'chants']",239
"disperse","scatter.v.03","distribute loosely","verb.contact","['disperse', 'sprinkle', 'sprinkled', 'sprinkles', 'dispersed', 'sprinkling', 'dispersing', 'disperses']",239
"decline","worsen.v.01","grow worse","verb.change","['decline', 'declined', 'worsen', 'declining', 'declines', 'worsens', 'worsened']",239
"generate","generate.v.01","bring into existence","verb.creation","['generate', 'generated', 'generates', 'generating']",238
"brace","brace.v.01","prepare (oneself) for something unpleasant or difficult","verb.emotion","['brace', 'braced']",237
"sensed","feel.v.03","perceive by a physical sensation, e.g., coming from the skin or muscles","verb.perception","['sensed', 'sensing']",237
"manifest","attest.v.01","provide evidence for; stand as proof of; show by one's behavior, attitude, or external attributes","verb.communication","['manifest', 'manifested', 'certify', 'attest', 'manifests', 'manifesting', 'evidenced', 'certifying', 'attested', 'attesting', 'certifies', 'attests']",237
"paralyzed","paralyze.v.01","make powerless and unable to function","verb.change","['paralyzed', 'paralysed', 'paralyze', 'paralyzing', 'paralyzes', 'paralyse', 'paralyses']",236
"barge","barge.v.01","push one's way","verb.motion","['barge', 'barging', 'barged']",236
"crave","crave.v.01","have a craving, appetite, or great desire for","verb.consumption","['crave', 'craving', 'lusting', 'craves', 'craved', 'lusted']",236
"emerge","emerge.v.01","come out into view, as from concealment","verb.change","['emerge', 'emerged', 'emerging', 'emerges']",236
"buzzing","buzz.v.01","make a buzzing sound","verb.perception","['buzzing', 'buzzed', 'buzzes', 'bombinating']",234
"intrude","intrude.v.01","enter uninvited","verb.motion","['intrude', 'intruding', 'intruded', 'intrudes']",234
"programmed","program.v.01","arrange a program of or for","verb.communication","['programmed', 'programing']",232
"yield","yield.v.01","be the cause or source of","verb.possession","['yield', 'yielded', 'yields', 'yielding']",232
"assassinated","assassinate.v.01","murder; especially of socially prominent persons","verb.social","['assassinated', 'assassinate', 'assassinating', 'assassinates']",232
"wiggle","jiggle.v.01","move to and fro","verb.motion","['wiggle', 'jiggle', 'jiggling', 'wiggling', 'wiggled', 'wiggles', 'jiggled', 'jiggles', 'joggle', 'joggled']",232
"cuddle","cuddle.v.01","move or arrange oneself in a comfortable and cozy position","verb.contact","['cuddle', 'snuggle', 'cuddling', 'nestled', 'snuggled', 'snuggling', 'cuddled', 'nuzzling', 'nuzzle', 'nuzzled', 'nuzzles']",232
"addicted","addict.v.01","to cause (someone or oneself) to become dependent (on something, especially a narcotic drug)","verb.consumption","['addicted', 'addicting']",231
"devastated","lay_waste_to.v.01","cause extensive destruction or ruin utterly","verb.change","['devastated', 'devastate', 'devastates']",231
"blasting","blast.v.01","make a strident sound","verb.perception","['blasting', 'blaring', 'blares', 'blare', 'blared']",231
"buckle","buckle.v.01","fasten with a buckle or buckles","verb.contact","['buckle', 'buckled', 'buckling']",229
"rotate","revolve.v.01","turn on or around an axis or a center","verb.motion","['rotate', 'revolve', 'rotating', 'revolves', 'rotated', 'revolved', 'rotates']",227
"bailed","bail.v.01","release after a security has been paid","verb.social","['bailed', 'bailing', 'bails']",226
"retain","retain.v.01","hold back within","verb.stative","['retain', 'retained', 'retaining', 'retains']",226
"disclose","unwrap.v.02","make known to the public information that was previously known only to a few people or that was meant to be kept a secret","verb.communication","['disclose', 'divulge', 'disclosed', 'disclosing', 'discloses', 'divulged', 'divulging', 'divulges']",224
"reap","reap.v.01","gather, as of natural products","verb.contact","['reap', 'harvested', 'harvesting', 'reaping', 'reaped', 'reaps', 'gleaned', 'gleaning', 'glean']",223
"circling","circle.v.01","travel around something","verb.motion","['circling', 'circled']",222
"hugging","embrace.v.02","squeeze (someone) tightly in your arms, usually with fondness","verb.contact","['hugging', 'hugged']",222
"expired","run_out.v.04","lose validity","verb.stative","['expired', 'expires', 'expire', 'expiring']",222
"jog","ramble_on.v.01","continue talking or writing in a desultory manner","verb.stative","['jog', 'jogging', 'ramble', 'jogs', 'jogged', 'rambled', 'rambles']",222
"decipher","decode.v.01","convert code into ordinary language","verb.communication","['decipher', 'decode', 'decoded', 'decrypt', 'deciphered', 'deciphering', 'decoding', 'decrypted', 'deciphers', 'decrypting']",221
"sponsored","sponsor.v.01","assume sponsorship of","verb.possession","['sponsored', 'patronize', 'sponsoring', 'patronized']",221
"corrupted","corrupt.v.01","corrupt morally or by intemperance or sensuality","verb.social","['corrupted', 'corrupting', 'corrupts', 'profane', 'demoralizing', 'demoralized', 'profaned', 'debase', 'debased', 'misdirected', 'demoralising', 'debasing', 'demoralize', 'demoralizes', 'debauch', 'debauching', 'demoralise', 'deprave', 'misdirecting', 'perverting', 'vitiate', 'profanes', 'profaning', 'vitiated']",221
"growling","grumble.v.03","to utter or emit low dull rumbling sounds","verb.communication","['growling', 'growled']",220
"reschedule","reschedule.v.01","assign a new time and place for an event","verb.communication","['reschedule', 'rescheduled', 'rescheduling']",220
"swap","trade.v.04","exchange or give (something) in exchange for","verb.possession","['swap', 'swapped', 'swapping', 'swaps', 'swop']",220
"flunk","fail.v.07","fail to get a passing grade","verb.social","['flunk', 'flunked', 'flunking', 'flunks']",220
"reserved","reserve.v.01","hold back or set aside, especially for future use or contingency","verb.possession","['reserved', 'reserving']",219
"doubled","double.v.01","increase twofold","verb.change","['doubled', 'doubling']",219
"cling","cling.v.01","come or be in close contact with; stick or hold together and resist separation","verb.contact","['cling', 'clinging', 'clung', 'clings']",219
"absorb","absorb.v.01","become imbued","verb.contact","['absorb', 'absorbed', 'absorbs', 'absorbing']",219
"frustrated","thwart.v.01","hinder or prevent (the efforts, plans, or desires) of","verb.social","['frustrated', 'thwarted', 'thwart', 'frustrate', 'thwarting', 'queered', 'frustrates', 'queering']",218
"snooping","spy.v.02","watch, observe, or inquire secretly","verb.communication","['snooping', 'snoop', 'snooped', 'sleuthing']",218
"adapt","adapt.v.01","make fit for, or change to suit a new purpose","verb.change","['adapt', 'adapted', 'adapting', 'adapts']",218
"inhale","inhale.v.01","draw deep into the lungs in by breathing","verb.consumption","['inhale', 'inhaled', 'inhaling', 'inhales']",218
"divert","deviate.v.01","turn aside; turn away from","verb.motion","['divert', 'deviate', 'diverted', 'diverting', 'deviated', 'diverts', 'deviating']",218
"overruled","overrule.v.01","rule against","verb.cognition","['overruled', 'overrule', 'overridden', 'overrides', 'overrode', 'overruling', 'overrules']",217
"confiscated","impound.v.01","take temporary possession of as a security, by legal authority","verb.possession","['confiscated', 'confiscate', 'impounded', 'confiscating', 'impounding', 'impounds', 'confiscates']",217
"amaze","amaze.v.01","affect with wonder","verb.cognition","['amaze', 'amazes', 'astounding', 'astonish', 'astound', 'astounds', 'astonishes']",217
"cope","cope.v.01","come to terms with","verb.social","['cope', 'coping', 'grapple', 'coped', 'grappled', 'grapples', 'copes']",216
"shrunk","shrivel.v.01","wither, as with a loss of moisture","verb.change","['shrunk', 'wither', 'shrinking', 'shrivel', 'shrank', 'shriveled', 'shrivels', 'shrivelled', 'shriveling']",216
"suffocate","smother.v.02","deprive of oxygen and prevent from breathing","verb.contact","['suffocate', 'suffocating', 'suffocated', 'asphyxiated', 'suffocates', 'asphyxiate', 'asphyxiating', 'asphyxiates']",216
"clamp","clamp.v.01","fasten or fix with a clamp","verb.contact","['clamp', 'clamped', 'clamping']",215
"dislike","dislike.v.01","have or feel a dislike or distaste for","verb.emotion","['dislike', 'disliked', 'dislikes', 'disliking']",215
"spank","spank.v.01","give a spanking to; subject to a spanking","verb.contact","['spank', 'spanked', 'spanks']",215
"confined","restrict.v.03","place limits on (extent or access)","verb.change","['confined', 'confine', 'limiting', 'throttled', 'throttling']",215
"shipped","transport.v.04","transport commercially","verb.motion","['shipped']",214
"intimidated","intimidate.v.01","make timid or fearful","verb.emotion","['intimidated', 'intimidate', 'intimidates']",214
"interrogate","interrogate.v.01","transmit (a signal) for setting off an appropriate response, as in telecommunication","verb.communication","['interrogate', 'interrogating', 'interrogated', 'interrogates']",214
"incorporated","integrate.v.01","make into a whole or make part of a whole","verb.change","['incorporated', 'integrate', 'incorporate', 'integrated', 'incorporating', 'incorporates', 'integrating', 'integrates']",214
"heave","heave.v.01","utter a sound, as with obvious effort","verb.communication","['heave', 'heaving', 'heaved', 'hove']",213
"recite","declaim.v.01","recite in elocution","verb.communication","['recite', 'reciting', 'recited', 'recites', 'declaim']",213
"banished","banish.v.01","expel from a community or group","verb.social","['banished', 'banish', 'ostracized', 'blackballed', 'banishing', 'blackballing', 'banishes', 'ostracised', 'ostracizing']",213
"imprisoned","imprison.v.01","lock up or confine, in or as in a jail","verb.social","['imprisoned', 'incarcerated', 'jailed', 'imprison', 'incarcerate', 'imprisoning', 'incarcerating', 'imprisons', 'jailing', 'immured']",213
"sentenced","sentence.v.01","pronounce a sentence on (somebody) in a court of law","verb.communication","['sentenced']",212
"indulge","indulge.v.01","give free rein to","verb.social","['indulge', 'indulging', 'indulged', 'indulges']",212
"targeting","target.v.01","intend (something) to move towards a certain goal","verb.competition","['targeting', 'targeted']",212
"composed","compose.v.01","form the substance of","verb.stative","['composed', 'compose', 'composing', 'composes']",212
"disobeyed","disobey.v.01","refuse to go along with; refuse to follow; be disobedient","verb.social","['disobeyed', 'disobey', 'disobeying', 'disobeys']",212
"decrease","decrease.v.01","decrease in size, extent, or range","verb.change","['decrease', 'diminish', 'diminished', 'lessen', 'decreasing', 'diminishing', 'diminishes', 'lessened', 'decreases', 'lessens']",212
"grind","crunch.v.02","press or grind with a crushing noise","verb.contact","['grind', 'grinding', 'grinds', 'grinded']",211
"conjure","raise.v.07","summon into action or bring into existence, often as if by magic","verb.creation","['conjure', 'invoke', 'invoked', 'conjured', 'invoking', 'conjuring', 'conjures', 'invokes']",211
"wrestle","wrestle.v.01","combat to overcome an opposing tendency or force","verb.competition","['wrestle', 'wrestled', 'wrestles']",210
"bathe","bathe.v.01","cleanse the entire body","verb.body","['bathe', 'bathed', 'bathes']",210
"banned","ban.v.01","forbid the public distribution of ( a movie or a newspaper)","verb.social","['banned', 'banning', 'censor', 'censored', 'censoring']",209
"crank","zigzag.v.01","travel along a zigzag path","verb.motion","['crank', 'cranking', 'cranked', 'zigzagging', 'zigzagged']",208
"trespassing","trespass.v.01","enter unlawfully on someone's property","verb.social","['trespassing', 'trespass', 'trespassed']",208
"tighten","tighten.v.01","make tight or tighter","verb.change","['tighten', 'tightening', 'tightened', 'tightens']",207
"revive","resuscitate.v.01","cause to regain consciousness","verb.body","['revive', 'resuscitate', 'revived', 'resuscitated', 'reviving', 'revives', 'resuscitating']",207
"bind","adhere.v.06","stick to firmly","verb.contact","['bind', 'bonded', 'binds']",206
"roaring","roar.v.01","make a loud noise, as of wind, water, or vehicles","verb.communication","['roaring', 'roars', 'roared']",206
"inspect","inspect.v.01","look over carefully","verb.perception","['inspect', 'inspected', 'inspecting', 'inspects']",203
"shitting","denounce.v.04","give away information about somebody","verb.communication","['shitting', 'shat', 'shitted']",202
"diagnosed","diagnose.v.01","determine or distinguish the nature of a problem or an illness through a diagnostic analysis","verb.cognition","['diagnosed', 'diagnose', 'diagnosing']",201
"crucify","crucify.v.01","kill by nailing onto a cross","verb.social","['crucify', 'crucified', 'crucifying']",201
"lurking","lurk.v.01","lie in wait, lie in ambush, behave in a sneaky and secretive manner","verb.stative","['lurking', 'lurks', 'skulking', 'lurk', 'skulk', 'skulks', 'lurked']",201
"stored","store.v.01","keep or lay aside for future use","verb.possession","['stored', 'storing']",199
"flooded","deluge.v.01","fill quickly beyond capacity; as with a liquid","verb.contact","['flooded', 'flooding', 'inundated', 'deluged', 'inundating']",199
"pluck","pluck.v.01","pull or pull out sharply","verb.contact","['pluck', 'plucked', 'plucking', 'plucks']",199
"bash","sock.v.01","hit hard","verb.contact","['bash', 'bashed', 'socked', 'bashing', 'socking', 'whap', 'bashes']",199
"reeling","stagger.v.01","walk as if unable to control one's movements","verb.motion","['reeling', 'staggering', 'keel', 'keeled', 'staggered', 'keels', 'keeling', 'careened', 'careening', 'lurched', 'reeled', 'lurches', 'lurching']",199
"derived","deduce.v.01","reason by deduction; establish by deduction","verb.cognition","['derived', 'derive', 'deduce', 'infer', 'deduced', 'derives', 'inferred', 'inferring', 'deducing', 'infers', 'deduces', 'deriving']",198
"shaped","determine.v.02","shape or influence; give direction to","verb.cognition","['shaped', 'shaping']",196
"insert","insert.v.01","put or introduce into something","verb.contact","['insert', 'inserted', 'inserting']",196
"mow","mow.v.01","cut with a blade or mower","verb.contact","['mow', 'mowed', 'mowing', 'mows', 'mown']",196
"twirl","twirl.v.01","turn in a twisting or spinning motion","verb.motion","['twirl', 'twirling', 'swirling', 'whirling', 'twiddling', 'twirled', 'twiddle', 'swirled', 'twirls', 'twiddled', 'whirled']",196
"dripping","drip.v.01","fall in drops","verb.motion","['dripping', 'drips', 'dripped']",195
"blend","blend.v.01","combine into one","verb.contact","['blend', 'blended', 'blending', 'blends', 'intermingle', 'intermingled', 'intermingling']",195
"tackle","undertake.v.02","accept as a challenge","verb.social","['tackle', 'tackled', 'tackling', 'tackles']",195
"clipped","nip.v.03","sever or remove by pinching or snipping","verb.contact","['clipped', 'snip', 'snipped', 'snipping']",195
"juggling","juggle.v.01","influence by slyness","verb.social","['juggling', 'juggle', 'hoodwinked', 'beguile', 'hoodwink', 'juggled', 'beguiled', 'juggles']",195
"unite","unite.v.01","act in concert or unite in a common purpose or belief","verb.social","['unite', 'unites', 'uniting']",194
"administer","administer.v.01","work in an administrative capacity; supervise or be in charge of","verb.social","['administer', 'administered', 'administering', 'administers', 'administrate', 'administrates']",194
"nod","nod.v.01","express or signify by nodding","verb.communication","['nod', 'nodding', 'nodded']",193
"pinched","pinch.v.01","squeeze tightly between the fingers","verb.contact","['pinched', 'pinching', 'nipping', 'nipped', 'pinches']",193
"resemble","resemble.v.01","appear like; be similar or bear a likeness to","verb.stative","['resemble', 'resembles', 'resembling', 'resembled']",193
"baptized","baptize.v.01","administer baptism to","verb.communication","['baptized', 'baptize', 'christen', 'christened', 'baptised', 'baptise', 'baptizing']",193
"minding","mind.v.01","be offended or bothered by; take offense with, be bothered by","verb.communication","['minding', 'minded']",192
"insured","see.v.10","be careful or certain to do something; make certain of something","verb.cognition","['insured', 'insure', 'insures', 'insuring']",192
"extract","extract.v.01","remove, usually with some force or effort; also used in an abstract sense","verb.contact","['extract', 'extracted', 'extracting']",192
"discouraged","deter.v.01","try to prevent; show opposition to","verb.communication","['discouraged', 'discourage', 'deter', 'deterred', 'discourages', 'deterring', 'detering']",192
"chatting","chew_the_fat.v.01","talk socially without exchanging too much information","verb.communication","['chatting', 'chatted', 'jawing', 'jawed', 'chitchatting', 'nattering', 'chitchatted']",191
"grieve","grieve.v.01","feel grief","verb.emotion","['grieve', 'grieves', 'grieved']",191
"dissolve","dissolve.v.01","become weaker","verb.change","['dissolve', 'dissolved', 'dissolves', 'dissolving']",191
"veer","swerve.v.01","turn sharply; change direction abruptly","verb.motion","['veer', 'slew', 'swerved', 'swerve', 'veered', 'veers', 'swerving', 'veering', 'curving', 'sheered', 'swerves', 'trending']",191
"flatter","flatter.v.01","praise somewhat dishonestly","verb.communication","['flatter', 'flatters', 'blandish']",190
"overwhelmed","overwhelm.v.01","overcome, as with emotions or perceptual stimuli","verb.emotion","['overwhelmed', 'overwhelm', 'overwhelms', 'whelmed']",190
"equals","equal.v.01","be identical or equivalent to","verb.stative","['equals', 'equaled', 'equalled', 'equalling']",189
"stashed","hoard.v.01","save up as for future use","verb.possession","['stashed', 'hoarding', 'stashing', 'stashes', 'hoarded', 'caching', 'hoards']",189
"lowered","lower.v.01","move something or somebody to a lower position","verb.motion","['lowered', 'lowering', 'lowers']",189
"compensate","compensate.v.01","adjust for","verb.stative","['compensate', 'compensated', 'compensating', 'counterbalance', 'compensates']",188
"slash","slash.v.01","cut with sweeping strokes; as with an ax or machete","verb.contact","['slash', 'slashed', 'slashing', 'slashes']",188
"scoot","dart.v.02","run or move very quickly or hastily","verb.motion","['scoot', 'dashed', 'scooted', 'scooting', 'scoots', 'scudding']",187
"abide","bide.v.01","dwell","verb.stative","['abide', 'bide', 'biding', 'abides', 'bides', 'abided']",187
"trashed","trash.v.01","dispose of (something useless or old)","verb.possession","['trashed', 'trashing', 'scrapped', 'scrapping', 'junking', 'junked', 'trashes']",187
"blinded","blind.v.01","render unable to see","verb.perception","['blinded']",186
"spelled","spell.v.01","orally recite the letters of or give the spelling of","verb.communication","['spelled', 'spelt']",186
"mingle","mix.v.05","to bring or combine together or with something else","verb.contact","['mingle', 'mingling', 'mingled', 'mingles']",186
"copied","copy.v.01","copy down as is","verb.creation","['copied', 'copying']",186
"disarm","disarm.v.01","remove offensive capability from","verb.competition","['disarm', 'disarmed', 'disarming', 'disarms']",186
"hovering","hover.v.01","be undecided about something; waver between conflicting positions or courses of action","verb.stative","['hovering', 'hover', 'hovered', 'hovers', 'oscillate', 'vacillating', 'oscillated', 'oscillates', 'vacillate', 'vacillates']",186
"commands","command.v.01","be in command of","verb.communication","['commands', 'commanded']",185
"exercising","exert.v.01","put to use","verb.consumption","['exercising', 'exercised', 'exert', 'exerted', 'exerts', 'exerting']",185
"sulking","sulk.v.01","be in a huff and display one's displeasure","verb.stative","['sulking', 'pouting', 'pout', 'sulk', 'pouted', 'pouts', 'sulks', 'sulked']",185
"drooling","salivate.v.02","be envious, desirous, eager for, or extremely happy about something","verb.emotion","['drooling', 'drool', 'drooled', 'drools']",184
"fantasize","fantasy.v.01","indulge in fantasies","verb.creation","['fantasize', 'fantasizing', 'fantasized', 'fantasise', 'fantasizes', 'fantasises', 'fantasised', 'fantasising']",184
"overdo","overdo.v.01","do something to an excessive degree","verb.social","['overdo', 'overdoing', 'overdid', 'overdone', 'overdoes']",183
"improvise","improvise.v.01","perform without preparation","verb.creation","['improvise', 'improvising', 'improvised', 'improvises']",182
"hiking","hike.v.01","increase","verb.motion","['hiking', 'boosted', 'hiked', 'boosting', 'boosts']",182
"trim","pare.v.04","remove the edges from and cut down to the desired size","verb.contact","['trim', 'trimmed', 'trimming', 'trims']",182
"patched","patch.v.01","to join or unite the pieces of","verb.contact","['patched', 'patching', 'pieced', 'piecing']",182
"rigged","rig.v.01","arrange the outcome of by means of deceit","verb.social","['rigged']",181
"reside","reside.v.01","make one's home in a particular place or community","verb.stative","['reside', 'resides', 'shacked', 'shacking', 'residing', 'resided']",181
"respected","respect.v.01","regard highly; think much of","verb.cognition","['respected']",180
"pegged","nail_down.v.01","succeed in obtaining a position","verb.social","['pegged', 'pegging']",180
"surpassed","excel.v.01","distinguish oneself","verb.stative","['surpassed', 'excel', 'excelled', 'surpass', 'surpasses', 'surpassing', 'excels', 'excelling']",180
"pleases","please.v.01","give pleasure to or be pleasing to","verb.emotion","['pleases', 'delighting']",179
"sustain","prolong.v.02","lengthen or extend in duration or space","verb.stative","['sustain', 'sustaining', 'sustains']",179
"renew","regenerate.v.01","reestablish on a new, usually improved, basis or make new or like new","verb.creation","['renew', 'renewing', 'regenerate', 'regenerated', 'regenerates', 'renews', 'regenerating']",179
"transported","transport.v.01","move something or somebody around; usually over long distances","verb.motion","['transported', 'transporting']",179
"specialize","specialize.v.01","become more focus on an area of activity or field of study","verb.change","['specialize', 'specializes', 'specialized', 'specializing']",179
"surfing","surfboard.v.01","ride the waves of the sea with a surfboard","verb.motion","['surfing', 'surfed', 'surfs', 'surfboarding']",178
"convey","convey.v.01","make known; pass on, of information","verb.communication","['convey', 'conveyed', 'conveying', 'conveys']",178
"infiltrate","infiltrate.v.01","cause (a liquid) to enter by penetrating the interstices","verb.motion","['infiltrate', 'infiltrated', 'infiltrating', 'infiltrates']",178
"scold","call_on_the_carpet.v.01","censure severely or angrily","verb.communication","['scold', 'scolded', 'scolding', 'berate', 'rebuked', 'berated', 'berating', 'rebuke', 'chide', 'chided', 'scolds']",177
"startled","startle.v.01","to stimulate to action","verb.emotion","['startled', 'startle', 'galvanize', 'startles']",176
"babbling","babble.v.01","utter meaningless sounds, like a baby, or utter in an incoherent way","verb.communication","['babbling', 'babble', 'babbled', 'babbles']",174
"applaud","applaud.v.01","clap one's hands or shout after performances to indicate approval","verb.communication","['applaud', 'applauding', 'applauded', 'applauds']",174
"scanning","scan.v.01","examine minutely or intensely","verb.perception","['scanning', 'scanned']",174
"alarmed","dismay.v.02","fill with apprehension or alarm; cause to be unpleasantly surprised","verb.emotion","['alarmed', 'horrified', 'horrify', 'horrifies']",173
"excluded","exclude.v.01","prevent from being included or considered or accepted","verb.cognition","['excluded', 'exclude', 'omitted', 'excludes', 'omit', 'excluding', 'omitting']",173
"dwell","brood.v.01","think moodily or anxiously about something","verb.cognition","['dwell', 'dwells', 'dwelt', 'dwelled', 'brooded', 'broods']",172
"nominated","nominate.v.01","propose as a candidate for some honor","verb.communication","['nominated', 'nominate', 'nominates', 'nominating']",172
"thrive","boom.v.05","grow vigorously","verb.change","['thrive', 'flourish', 'thrives', 'flourished', 'flourishing', 'thrived']",172
"crumble","crumble.v.01","fall apart","verb.motion","['crumble', 'crumbling', 'crumbles', 'crumbled', 'crumpled', 'crumple', 'crumples']",172
"induce","induce.v.01","cause to arise","verb.creation","['induce', 'induced', 'induces', 'inducing']",171
"inflicted","inflict.v.01","impose something unpleasant","verb.communication","['inflicted', 'inflict', 'inflicting', 'inflicts']",171
"tampered","tamper.v.01","play around with or alter or falsify, usually secretively or dishonestly","verb.contact","['tampered', 'tampering', 'tamper', 'monkeying', 'tampers', 'monkeyed']",171
"bombed","bombard.v.02","throw bombs at or attack with bombs","verb.competition","['bombed']",170
"chained","chain.v.01","connect or arrange into a chain by linking","verb.contact","['chained', 'chaining']",170
"photographed","photograph.v.01","record on photographic film","verb.communication","['photographed', 'photographing']",170
"tumbling","tumble.v.01","fall down, as if collapsing","verb.motion","['tumbling', 'tumble', 'topple', 'toppled', 'tumbled', 'toppling', 'tumbles', 'topples']",170
"corrected","correct.v.01","make right or correct","verb.change","['corrected', 'correcting', 'corrects']",169
"strengthen","strengthen.v.01","make strong or stronger","verb.change","['strengthen', 'strengthened', 'fortified', 'strengthens', 'strengthening', 'fortify', 'fortifying', 'fortifies']",169
"excite","excite.v.01","arouse or elicit a feeling","verb.emotion","['excite', 'excites']",168
"stationed","station.v.01","assign to a station","verb.competition","['stationed']",167
"scramble","scramble.v.01","to move hurriedly","verb.motion","['scramble', 'scrambling', 'scrambles']",167
"ticking","click.v.02","make a clicking or ticking sound","verb.perception","['ticking', 'ticked']",167
"tread","step.v.02","put down or press the foot, place the foot","verb.motion","['tread', 'treading', 'trod', 'treads', 'trodden', 'treaded']",167
"molested","molest.v.01","harass or assault sexually; make indecent advances to","verb.social","['molested', 'molesting', 'molest', 'molests']",167
"peeking","glance.v.01","throw a glance at; take a brief look at","verb.perception","['peeking', 'peeked', 'glanced', 'glancing', 'peeks']",167
"stabilize","stabilize.v.01","make stable and keep from fluctuating or put into an equilibrium","verb.change","['stabilize', 'stabilized', 'stabilizing', 'stabilizes']",167
"bred","engender.v.01","call forth","verb.creation","['bred', 'spawned', 'engender', 'engendering', 'engenders', 'spawns', 'engendered']",166
"harmed","harm.v.01","cause or do harm to","verb.body","['harmed', 'harming', 'harms']",166
"implicated","implicate.v.01","bring into intimate and incriminating connection","verb.stative","['implicated', 'implicate', 'implicates', 'implicating']",166
"groping","grope.v.01","feel about uncertainly or blindly","verb.contact","['groping', 'fumble', 'fumbled', 'grope', 'groped', 'fumbles', 'fumbling', 'gropes']",166
"sorted","screen.v.03","examine in order to test suitability","verb.social","['sorted', 'sorting']",165
"severed","sever.v.01","set or keep apart","verb.contact","['severed', 'sever', 'severing', 'severs']",165
"delete","delete.v.01","remove or make invisible","verb.contact","['delete', 'deleted', 'deleting']",165
"taunting","tease.v.02","harass with persistent criticism or carping","verb.communication","['taunting', 'baiting', 'taunt', 'baited', 'taunted', 'razz', 'razzing', 'tantalize', 'taunts', 'razzed', 'tantalized', 'twitted']",165
"bummed","mooch.v.01","ask for and get free; be a parasite","verb.possession","['bummed', 'bumming', 'grubbing', 'mooching', 'cadging', 'mooched', 'cadge']",164
"mattered","count.v.02","have weight; have import, carry weight","verb.stative","['mattered', 'mattering']",163
"amuse","amuse.v.01","occupy in an agreeable, entertaining or pleasant fashion","verb.social","['amuse', 'amuses']",163
"exchanged","exchange.v.01","give to, and receive from, one another","verb.possession","['exchanged', 'exchanging']",163
"cashed","cash.v.01","exchange for cash","verb.possession","['cashed', 'cashing', 'cashes']",163
"multiply","multiply.v.01","combine by multiplication","verb.cognition","['multiply', 'multiplying', 'multiplied', 'multiplies']",163
"whimpering","wail.v.02","cry weakly or softly","verb.body","['whimpering', 'whimpers', 'whimpered', 'mewling', 'mewl', 'puling']",163
"unleash","unleash.v.01","release or vent","verb.contact","['unleash', 'unleashed', 'unleashing', 'unleashes']",163
"narrowed","narrow.v.01","make or become more narrow or restricted","verb.change","['narrowed', 'narrows', 'narrowing']",163
"stutter","bumble.v.03","speak haltingly","verb.communication","['stutter', 'stuttering', 'stutters', 'stammering', 'stammers', 'stammer', 'stuttered', 'stammered']",163
