SID,Cue,Character,Category,Recall
SID000120,School,BuddyGarrity,Place,0
SID000120,School,CoachTaylor,Place,7
SID000120,School,JasonStreet,Place,0
SID000120,School,JulieTaylor,Place,2
SID000120,School,LandryClarke,Place,0
SID000120,School,LylaGarrity,Place,4
SID000120,School,MattSaracen,Place,1
SID000120,School,SmashWilliams,Place,5
SID000120,School,TamiTaylor,Place,6
SID000120,School,TimRiggins,Place,3
SID000120,School,TyraCollette,Place,0
SID000120,SmashWilliams,BuddyGarrity,Character,0
SID000120,SmashWilliams,CoachTaylor,Character,6
SID000120,SmashWilliams,JasonStreet,Character,2
SID000120,SmashWilliams,JulieTaylor,Character,0
SID000120,SmashWilliams,LandryClarke,Character,0
SID000120,SmashWilliams,LylaGarrity,Character,5
SID000120,SmashWilliams,MattSaracen,Character,4
SID000120,SmashWilliams,SmashWilliams,Character,0
SID000120,SmashWilliams,TamiTaylor,Character,0
SID000120,SmashWilliams,TimRiggins,Character,3
SID000120,SmashWilliams,TyraCollette,Character,1
SID000120,SupportAdviseComfort,BuddyGarrity,Action,0
SID000120,SupportAdviseComfort,CoachTaylor,Action,3
SID000120,SupportAdviseComfort,JasonStreet,Action,0
SID000120,SupportAdviseComfort,JulieTaylor,Action,0
SID000120,SupportAdviseComfort,LandryClarke,Action,0
SID000120,SupportAdviseComfort,LylaGarrity,Action,2
SID000120,SupportAdviseComfort,MattSaracen,Action,4
SID000120,SupportAdviseComfort,SmashWilliams,Action,0
SID000120,SupportAdviseComfort,TamiTaylor,Action,1
SID000120,SupportAdviseComfort,TimRiggins,Action,0
SID000120,SupportAdviseComfort,TyraCollette,Action,0
SID000120,TamiTaylor,BuddyGarrity,Character,0
SID000120,TamiTaylor,CoachTaylor,Character,2
SID000120,TamiTaylor,JasonStreet,Character,0
SID000120,TamiTaylor,JulieTaylor,Character,1
SID000120,TamiTaylor,LandryClarke,Character,0
SID000120,TamiTaylor,LylaGarrity,Character,0
SID000120,TamiTaylor,MattSaracen,Character,0
SID000120,TamiTaylor,SmashWilliams,Character,0
SID000120,TamiTaylor,TamiTaylor,Character,0
SID000120,TamiTaylor,TimRiggins,Character,0
SID000120,TamiTaylor,TyraCollette,Character,0
SID000120,TimRiggins,BuddyGarrity,Character,0
SID000120,TimRiggins,CoachTaylor,Character,5
SID000120,TimRiggins,JasonStreet,Character,3
SID000120,TimRiggins,JulieTaylor,Character,0
SID000120,TimRiggins,LandryClarke,Character,0
SID000120,TimRiggins,LylaGarrity,Character,2
SID000120,TimRiggins,MattSaracen,Character,0
SID000120,TimRiggins,SmashWilliams,Character,4
SID000120,TimRiggins,TamiTaylor,Character,0
SID000120,TimRiggins,TimRiggins,Character,0
SID000120,TimRiggins,TyraCollette,Character,1
SID000120,TyraCollette,BuddyGarrity,Character,0
SID000120,TyraCollette,CoachTaylor,Character,0
SID000120,TyraCollette,JasonStreet,Character,2
SID000120,TyraCollette,JulieTaylor,Character,0
SID000120,TyraCollette,LandryClarke,Character,0
SID000120,TyraCollette,LylaGarrity,Character,4
SID000120,TyraCollette,MattSaracen,Character,0
SID000120,TyraCollette,SmashWilliams,Character,3
SID000120,TyraCollette,TamiTaylor,Character,0
SID000120,TyraCollette,TimRiggins,Character,1
SID000120,TyraCollette,TyraCollette,Character,0
SID000120,FreeRecall,BuddyGarrity,Free,4
SID000120,FreeRecall,CoachTaylor,Free,1
SID000120,FreeRecall,JasonStreet,Free,8
SID000120,FreeRecall,JulieTaylor,Free,3
SID000120,FreeRecall,LandryClarke,Free,0
SID000120,FreeRecall,LylaGarrity,Free,5
SID000120,FreeRecall,MattSaracen,Free,7
SID000120,FreeRecall,SmashWilliams,Free,10
SID000120,FreeRecall,TamiTaylor,Free,2
SID000120,FreeRecall,TimRiggins,Free,6
SID000120,FreeRecall,TyraCollette,Free,9
SID000791,Attractive,BuddyGarrity,Trait,0
SID000791,Attractive,CoachTaylor,Trait,0
SID000791,Attractive,JasonStreet,Trait,0
SID000791,Attractive,JulieTaylor,Trait,4
SID000791,Attractive,LandryClarke,Trait,0
SID000791,Attractive,LylaGarrity,Trait,1
SID000791,Attractive,MattSaracen,Trait,3
SID000791,Attractive,SmashWilliams,Trait,0
SID000791,Attractive,TamiTaylor,Trait,0
SID000791,Attractive,TimRiggins,Trait,0
SID000791,Attractive,TyraCollette,Trait,2
SID000791,BuddyGarrity,BuddyGarrity,Character,0
SID000791,BuddyGarrity,CoachTaylor,Character,2
SID000791,BuddyGarrity,JasonStreet,Character,3
SID000791,BuddyGarrity,JulieTaylor,Character,0
SID000791,BuddyGarrity,LandryClarke,Character,0
SID000791,BuddyGarrity,LylaGarrity,Character,1
SID000791,BuddyGarrity,MattSaracen,Character,4
SID000791,BuddyGarrity,SmashWilliams,Character,0
SID000791,BuddyGarrity,TamiTaylor,Character,0
SID000791,BuddyGarrity,TimRiggins,Character,5
SID000791,BuddyGarrity,TyraCollette,Character,0
SID000791,CasuallyHangout,BuddyGarrity,Action,0
SID000791,CasuallyHangout,CoachTaylor,Action,0
SID000791,CasuallyHangout,JasonStreet,Action,0
SID000791,CasuallyHangout,JulieTaylor,Action,0
SID000791,CasuallyHangout,LandryClarke,Action,2
SID000791,CasuallyHangout,LylaGarrity,Action,3
SID000791,CasuallyHangout,MattSaracen,Action,1
SID000791,CasuallyHangout,SmashWilliams,Action,0
SID000791,CasuallyHangout,TamiTaylor,Action,0
SID000791,CasuallyHangout,TimRiggins,Action,0
SID000791,CasuallyHangout,TyraCollette,Action,4
SID000791,CoachTaylor,BuddyGarrity,Character,5
SID000791,CoachTaylor,CoachTaylor,Character,0
