Subject,Content,Character,Mention
s03,TimRiggins,CoachTaylor,0
s03,TimRiggins,JasonStreet,1
s03,TimRiggins,JulieTaylor,0
s03,TimRiggins,LandryClarke,0
s03,TimRiggins,LylaGarrity,1
s03,TimRiggins,MattSaracen,0
s03,TimRiggins,SmashWilliams,0
s03,TimRiggins,TamiTaylor,0
s03,TimRiggins,TimRiggins,0
s03,TimRiggins,TyraCollette,1
s03,TyraCollette,BuddyGarrity,0
s03,TyraCollette,CoachTaylor,0
s03,TyraCollette,JasonStreet,1
s03,TyraCollette,JulieTaylor,0
s03,TyraCollette,LandryClarke,0
s03,TyraCollette,LylaGarrity,1
s03,TyraCollette,MattSaracen,0
s03,TyraCollette,SmashWilliams,1
s03,TyraCollette,TamiTaylor,0
s03,TyraCollette,TimRiggins,1
s03,TyraCollette,TyraCollette,0
s04,BuddyGarrity,BuddyGarrity,0
s04,BuddyGarrity,CoachTaylor,1
s04,BuddyGarrity,JasonStreet,0
s04,BuddyGarrity,JulieTaylor,0
s04,BuddyGarrity,LandryClarke,0
s04,BuddyGarrity,LylaGarrity,1
s04,BuddyGarrity,MattSaracen,0
s04,BuddyGarrity,SmashWilliams,1
s04,BuddyGarrity,TamiTaylor,0
s04,BuddyGarrity,TimRiggins,0
s04,BuddyGarrity,TyraCollette,0
s04,CoachTaylor,BuddyGarrity,0
s04,CoachTaylor,CoachTaylor,0
s04,CoachTaylor,JasonStreet,0
s04,CoachTaylor,JulieTaylor,0
s04,CoachTaylor,LandryClarke,0
s04,CoachTaylor,LylaGarrity,0
s04,CoachTaylor,MattSaracen,1
s04,CoachTaylor,SmashWilliams,0
s04,CoachTaylor,TamiTaylor,1
s04,CoachTaylor,TimRiggins,0
s04,CoachTaylor,TyraCollette,0
s04,JasonStreet,BuddyGarrity,0
s04,JasonStreet,CoachTaylor,0
s04,JasonStreet,JasonStreet,0
s04,JasonStreet,JulieTaylor,0
s04,JasonStreet,LandryClarke,0
s04,JasonStreet,LylaGarrity,1
s04,JasonStreet,MattSaracen,0
s04,JasonStreet,SmashWilliams,0
s04,JasonStreet,TamiTaylor,0
s04,JasonStreet,TimRiggins,0
s04,JasonStreet,TyraCollette,0
s04,JulieTaylor,BuddyGarrity,0
s04,JulieTaylor,CoachTaylor,1
s04,JulieTaylor,JasonStreet,0
s04,JulieTaylor,JulieTaylor,0
s04,JulieTaylor,LandryClarke,0
s04,JulieTaylor,LylaGarrity,1
s04,JulieTaylor,MattSaracen,1
s04,JulieTaylor,SmashWilliams,0
s04,JulieTaylor,TamiTaylor,0
s04,JulieTaylor,TimRiggins,1
s04,JulieTaylor,TyraCollette,0
s04,LandryClarke,BuddyGarrity,0
s04,LandryClarke,CoachTaylor,0
s04,LandryClarke,JasonStreet,0
s04,LandryClarke,JulieTaylor,0
s04,LandryClarke,LandryClarke,0
s04,LandryClarke,LylaGarrity,0
s04,LandryClarke,MattSaracen,1
s04,LandryClarke,SmashWilliams,0
s04,LandryClarke,TamiTaylor,0
s04,LandryClarke,TimRiggins,0
s04,LandryClarke,TyraCollette,0
s04,LylaGarrity,BuddyGarrity,1
s04,LylaGarrity,CoachTaylor,0
s04,LylaGarrity,JasonStreet,1
s04,LylaGarrity,JulieTaylor,0
s04,LylaGarrity,LandryClarke,0
s04,LylaGarrity,LylaGarrity,0
s04,LylaGarrity,MattSaracen,0
s04,LylaGarrity,SmashWilliams,0
s04,LylaGarrity,TamiTaylor,0
s04,LylaGarrity,TimRiggins,1
s04,LylaGarrity,TyraCollette,1
s04,MattSaracen,BuddyGarrity,0
s04,MattSaracen,CoachTaylor,0
s04,MattSaracen,JasonStreet,1
s04,MattSaracen,JulieTaylor,1
s04,MattSaracen,LandryClarke,0
s04,MattSaracen,LylaGarrity,0
s04,MattSaracen,MattSaracen,0
s04,MattSaracen,SmashWilliams,1
s04,MattSaracen,TamiTaylor,0
s04,MattSaracen,TimRiggins,0
s04,MattSaracen,TyraCollette,0
s04,SmashWilliams,BuddyGarrity,0
s04,SmashWilliams,CoachTaylor,0
s04,SmashWilliams,JasonStreet,1
s04,SmashWilliams,JulieTaylor,0
s04,SmashWilliams,LandryClarke,0
s04,SmashWilliams,LylaGarrity,0
s04,SmashWilliams,MattSaracen,1
s04,SmashWilliams,SmashWilliams,0
s04,SmashWilliams,TamiTaylor,0
s04,SmashWilliams,TimRiggins,1
s04,SmashWilliams,TyraCollette,1
s04,TamiTaylor,BuddyGarrity,0
s04,TamiTaylor,CoachTaylor,1
s04,TamiTaylor,JasonStreet,0
s04,TamiTaylor,JulieTaylor,0
s04,TamiTaylor,LandryClarke,0
s04,TamiTaylor,LylaGarrity,0
s04,TamiTaylor,MattSaracen,0
s04,TamiTaylor,SmashWilliams,0
s04,TamiTaylor,TamiTaylor,0
s04,TamiTaylor,TimRiggins,0
s04,TamiTaylor,TyraCollette,0
s04,TimRiggins,BuddyGarrity,0
s04,TimRiggins,CoachTaylor,0
s04,TimRiggins,JasonStreet,1
s04,TimRiggins,JulieTaylor,0
s04,TimRiggins,LandryClarke,0
s04,TimRiggins,LylaGarrity,1
s04,TimRiggins,MattSaracen,0
s04,TimRiggins,SmashWilliams,1
s04,TimRiggins,TamiTaylor,0
s04,TimRiggins,TimRiggins,0
s04,TimRiggins,TyraCollette,1
s04,TyraCollette,BuddyGarrity,0
s04,TyraCollette,CoachTaylor,0
s04,TyraCollette,JasonStreet,1
s04,TyraCollette,JulieTaylor,0
s04,TyraCollette,LandryClarke,0
s04,TyraCollette,LylaGarrity,0
s04,TyraCollette,MattSaracen,0
s04,TyraCollette,SmashWilliams,1
s04,TyraCollette,TamiTaylor,0
s04,TyraCollette,TimRiggins,1
s04,TyraCollette,TyraCollette,0
s05,BuddyGarrity,BuddyGarrity,0
s05,BuddyGarrity,CoachTaylor,1
s05,BuddyGarrity,JasonStreet,1
s05,BuddyGarrity,JulieTaylor,0
s05,BuddyGarrity,LandryClarke,0
s05,BuddyGarrity,LylaGarrity,1
s05,BuddyGarrity,MattSaracen,0
s05,BuddyGarrity,SmashWilliams,0
s05,BuddyGarrity,TamiTaylor,0
s05,BuddyGarrity,TimRiggins,0
s05,BuddyGarrity,TyraCollette,0
s05,CoachTaylor,BuddyGarrity,0
s05,CoachTaylor,CoachTaylor,0
s05,CoachTaylor,JasonStreet,1
s05,CoachTaylor,JulieTaylor,1
s05,CoachTaylor,LandryClarke,0
s05,CoachTaylor,LylaGarrity,0
s05,CoachTaylor,MattSaracen,1
s05,CoachTaylor,SmashWilliams,0
s05,CoachTaylor,TamiTaylor,1
s05,CoachTaylor,TimRiggins,0
s05,CoachTaylor,TyraCollette,0
s05,JasonStreet,BuddyGarrity,0
s05,JasonStreet,CoachTaylor,0
s05,JasonStreet,JasonStreet,0
s05,JasonStreet,JulieTaylor,0
s05,JasonStreet,LandryClarke,0
s05,JasonStreet,LylaGarrity,1
s05,JasonStreet,MattSaracen,0
s05,JasonStreet,SmashWilliams,0
s05,JasonStreet,TamiTaylor,0
s05,JasonStreet,TimRiggins,0
s05,JasonStreet,TyraCollette,0
s05,JulieTaylor,BuddyGarrity,0
s05,JulieTaylor,CoachTaylor,1
s05,JulieTaylor,JasonStreet,0
s05,JulieTaylor,JulieTaylor,0
s05,JulieTaylor,LandryClarke,0
s05,JulieTaylor,LylaGarrity,0
s05,JulieTaylor,MattSaracen,1
s05,JulieTaylor,SmashWilliams,0
s05,JulieTaylor,TamiTaylor,1
s05,JulieTaylor,TimRiggins,0
s05,JulieTaylor,TyraCollette,0
s05,LandryClarke,BuddyGarrity,0
s05,LandryClarke,CoachTaylor,0
s05,LandryClarke,JasonStreet,0
s05,LandryClarke,JulieTaylor,0
s05,LandryClarke,LandryClarke,0
s05,LandryClarke,LylaGarrity,0
s05,LandryClarke,MattSaracen,1
s05,LandryClarke,SmashWilliams,0
s05,LandryClarke,TamiTaylor,0
s05,LandryClarke,TimRiggins,0
s05,LandryClarke,TyraCollette,0
s05,LylaGarrity,BuddyGarrity,0
s05,LylaGarrity,CoachTaylor,0
s05,LylaGarrity,JasonStreet,1
s05,LylaGarrity,JulieTaylor,0
s05,LylaGarrity,LandryClarke,0
s05,LylaGarrity,LylaGarrity,0
s05,LylaGarrity,MattSaracen,0
s05,LylaGarrity,SmashWilliams,0
s05,LylaGarrity,TamiTaylor,0
s05,LylaGarrity,TimRiggins,1
s05,LylaGarrity,TyraCollette,0
s05,MattSaracen,BuddyGarrity,0
s05,MattSaracen,CoachTaylor,1
s05,MattSaracen,JasonStreet,1
s05,MattSaracen,JulieTaylor,1
